id,match,team,win_lose,Tier,mean,std,var
0,621624233,dire,Lose,High,64.0057984407,37.7114026296,1422.14988829
1,621624233,radiant,Win,High,73.2080451229,41.3501321309,1709.83342724
2,623172202,dire,Lose,High,88.3500720101,39.1686204084,1534.18082469
3,623172202,radiant,Win,High,82.4748853672,40.9374155145,1675.87198901
4,623199714,dire,Win,High,87.7871114935,40.0584317178,1604.67795169
5,623199714,radiant,Lose,High,96.3223344591,31.723319376,1006.36899223
6,623246765,dire,Lose,High,85.7624490617,40.5621840616,1645.29077585
7,623246765,radiant,Win,High,89.4980430517,35.7697268641,1279.47335993
8,624579175,dire,Win,High,95.2331306069,36.5305079728,1334.47801275
9,624579175,radiant,Lose,High,80.8860470745,37.5476515046,1409.82613351
10,624608163,dire,Lose,High,75.8636931513,39.8288154209,1586.33453783
11,624608163,radiant,Win,High,87.3029332327,39.8150597166,1585.23898024
12,624642968,dire,Win,High,90.9067287193,35.2726664171,1244.16099617
13,624642968,radiant,Lose,High,69.4097546484,39.9807727033,1598.46218595
14,624692548,dire,Lose,High,78.9691988807,40.2244186142,1618.00385285
15,624692548,radiant,Win,High,87.2913814052,33.1797992335,1100.89907717
16,624755961,dire,Lose,High,84.8721081476,35.7764102319,1279.95152908
17,624755961,radiant,Win,High,88.8022396023,43.095785794,1857.24675321
18,626519881,dire,Lose,High,75.4676809216,36.0922632995,1302.65147008
19,626519881,radiant,Win,High,82.9415594397,35.9838073477,1294.83439124
20,626684019,dire,Win,High,54.7528350649,21.782629555,474.482950329
21,626684019,radiant,Lose,High,141.228238573,49.0070605528,2401.69198402
22,626780627,dire,Win,High,95.135845072,38.3576293962,1471.3077329
23,626780627,radiant,Lose,High,78.3698716548,44.4971918801,1980.00008521
24,626855387,dire,Win,High,85.1274426611,38.6598445226,1494.58357851
25,626855387,radiant,Lose,High,84.0148130249,33.5506582564,1125.64666943
26,627040007,dire,Lose,High,78.6183717838,40.9962089874,1680.68915134
27,627040007,radiant,Win,High,85.3633266595,37.6134940756,1414.77493657
