id,match,team,win_lose,tier,mean,std,var
0,569649581,dire,Lose,Pro,93.260687703,26.5974767631,707.425770163
1,569649581,radiant,Win,Pro,86.5293233489,35.0400067251,1227.80207129
2,569716737,dire,Lose,Pro,65.4883032616,33.4164903506,1116.66182735
3,569716737,radiant,Win,Pro,75.0865096331,36.3586602969,1321.95217858
4,579132234,dire,Lose,Pro,49.1402174819,32.3890008703,1049.04737738
5,579132234,radiant,Win,Pro,92.4407731019,32.5202578811,1057.56717265
6,580607270,dire,Win,Pro,73.6724937831,41.1445262304,1692.87203872
7,580607270,radiant,Lose,Pro,79.9172256675,36.2174044226,1311.70038311
8,580713548,dire,Lose,Pro,68.7208389448,36.5838908992,1338.38107333
9,580713548,radiant,Win,Pro,83.5582093338,39.0133708405,1522.04310434
10,580795951,dire,Lose,Pro,70.7266386708,35.1066397821,1232.47615679
11,580795951,radiant,Win,Pro,84.3013615779,28.7345373719,825.673637978
12,588972183,dire,Win,Pro,85.8666118296,36.0287255078,1298.06906172
13,588972183,radiant,Lose,Pro,88.6389221372,32.9651144538,1086.69877095
14,589072947,dire,Win,Pro,62.0509124385,37.7094297034,1422.00108856
15,589072947,radiant,Lose,Pro,75.9009265491,33.4212659757,1116.98101942
16,589157786,dire,Lose,Pro,73.2379905018,34.1486883682,1166.13291727
17,589157786,radiant,Win,Pro,80.5350993667,31.1218728456,968.57096942
18,590348637,dire,Lose,Pro,79.2954706083,32.6499679443,1066.02040676
19,590348637,radiant,Win,Pro,85.483161945,34.7331601842,1206.39241638
20,590436483,dire,Lose,Pro,90.230344644,30.8301564167,950.498544679
21,590436483,radiant,Win,Pro,78.7441892895,40.3270504681,1626.27099946
22,590518928,dire,Win,Pro,73.4767155267,34.4025795228,1183.53747782
23,590518928,radiant,Lose,Pro,75.3714591094,42.7335676963,1826.15780806
24,591705499,dire,Lose,Pro,89.6607376729,35.1799514232,1237.62898214
25,591705499,radiant,Win,Pro,92.0229324003,34.3403087447,1179.25680468
26,591798786,dire,Win,Pro,72.7602284679,33.1347747812,1097.9132998
27,591798786,radiant,Lose,Pro,83.9865996257,32.394863321,1049.42716959
28,591890072,dire,Lose,Pro,80.0260889362,37.6131486536,1414.74895164
29,591890072,radiant,Win,Pro,75.2451465755,37.229851901,1386.06187257
30,593051940,dire,Lose,Pro,90.6513714985,43.4819559423,1890.68049257
31,593051940,radiant,Win,Pro,86.3145199879,37.5626990218,1410.9563578
32,593144800,dire,Lose,Pro,96.3250413279,30.1516868757,909.124221449
33,593144800,radiant,Win,Pro,80.0753906928,39.604517327,1568.51779271
34,599472634,dire,Win,Pro,90.1913470745,35.1092040892,1232.65621178
35,599472634,radiant,Lose,Pro,66.3757284587,34.1224378742,1164.34076648
36,599569853,dire,Win,Pro,88.317096479,34.9089166063,1218.63245862
37,599569853,radiant,Lose,Pro,88.7783121165,32.9653218042,1086.71244165
38,599633031,dire,Win,Pro,72.0206371237,38.27308558,1464.82907982
39,599633031,radiant,Lose,Pro,78.2629150257,37.0994590444,1376.36986139
40,600841581,dire,Win,Pro,69.3798612161,35.9023063394,1288.97560049
41,600841581,radiant,Lose,Pro,83.4025387463,29.0153443134,841.890205623
42,600946678,dire,Win,Pro,87.3232378191,35.4845945099,1259.15644753
43,600946678,radiant,Lose,Pro,86.6377641893,44.89864519,2015.8883399
44,601028596,dire,Win,Pro,63.8016241054,41.2957458843,1705.33862814
45,601028596,radiant,Lose,Pro,64.9161083777,39.1704643092,1534.3252742
46,602248335,dire,Lose,Pro,78.9600941408,39.0270982958,1523.11440139
47,602248335,radiant,Win,Pro,80.4251281571,34.8536478193,1214.77676631
48,602341542,dire,Lose,Pro,84.1281221357,32.9710233914,1087.08838348
49,602341542,radiant,Win,Pro,79.9019718933,40.0692353914,1605.54362485
50,610263617,dire,Lose,Pro,68.3173789777,35.3645100462,1250.64857081
51,610263617,radiant,Win,Pro,70.0355092507,34.358466075,1180.50419102
52,610363820,dire,Win,Pro,84.6836422302,44.6552728378,1994.09339222
53,610363820,radiant,Lose,Pro,87.2712103774,41.2533927145,1701.84241046
54,610451558,dire,Lose,Pro,67.5144108198,38.4597502419,1479.15238867
