id,match,team,win_lose,tier,mean,std,var
0,634751129,dire,Lose,VeryHigh,82.6084212773,44.9295387919,2018.66345605
1,634751129,radiant,Win,VeryHigh,93.7304531734,45.4555263867,2066.20487909
2,634790888,dire,Win,VeryHigh,83.8749654357,39.6748116582,1574.09068011
3,634790888,radiant,Lose,VeryHigh,72.7920506831,41.6842223937,1737.57439657
4,636257744,dire,Win,VeryHigh,95.2707117836,32.8846980125,1081.40336337
5,636257744,radiant,Lose,VeryHigh,85.3260674648,35.5038847649,1260.5258334
6,636303474,dire,Win,VeryHigh,92.0440611694,39.5341212443,1562.94674256
7,636303474,radiant,Lose,VeryHigh,78.7904111865,34.0503475359,1159.42616732
8,636311751,dire,Win,VeryHigh,83.6636908663,40.0021860424,1600.17488817
9,636311751,radiant,Lose,VeryHigh,86.899248427,36.5575554391,1336.45485969
10,636342671,dire,Lose,VeryHigh,94.6983290779,34.1996687313,1169.61734133
11,636342671,radiant,Win,VeryHigh,92.0984982622,32.857191918,1079.59506074
12,636381308,dire,Lose,VeryHigh,75.8751014838,38.6062563691,1490.44303084
13,636381308,radiant,Win,VeryHigh,78.7521084046,38.8304839664,1507.80648506
14,636420810,dire,Win,VeryHigh,88.1244361123,42.4324589398,1800.51357168
15,636420810,radiant,Lose,VeryHigh,85.6538608416,37.4495288088,1402.467208
16,636476209,dire,Lose,VeryHigh,71.9013766332,60.7578095479,3691.51142106
17,636476209,radiant,Win,VeryHigh,110.864069984,6.12753862591,37.546729612
18,636512456,dire,Win,VeryHigh,83.3212308206,39.7251440517,1578.08706993
19,636512456,radiant,Lose,VeryHigh,71.4920038689,36.2688294709,1315.42799119
20,636585258,dire,Win,VeryHigh,78.6712874753,38.3817176095,1473.15624666
21,636585258,radiant,Lose,VeryHigh,75.9358755833,39.3404555607,1547.67144372
22,637461379,dire,Win,VeryHigh,100.667063225,34.2254456183,1171.38112777
23,637461379,radiant,Lose,VeryHigh,91.4062997739,33.0911724549,1095.02569444
24,638399346,dire,Lose,VeryHigh,104.546215787,25.6619248265,658.5343858
25,638399346,radiant,Win,VeryHigh,96.686444946,31.3273449913,981.402544204
26,638444119,dire,Lose,VeryHigh,91.93537609,36.2564623886,1314.53106493
