match,team,player,won,tier,x,y,zone,match_strategy
621041235,dire,Kenny,1,Normal,59,68,jungle,11120
621041235,dire,Surprise%20Motherfucker,1,Normal,52,108,toplane,11120
621041235,dire,SWARNOY,1,Normal,54,93,jungle,11120
621041235,dire,VashZeStampede,1,Normal,110,71,bottomlane,11120
621041235,dire,xNaRuTo%5E%5E%20%231shotonly%20reacc,1,Normal,89,83,midlane,11120
621214317,dire,%5BAVA%5D%20F%C3%AD%CE%B7%CE%B5%CE%B1,1,Normal,114,74,bottomlane,21101
621214317,dire,Pykan_Wylkan,1,Normal,86,44,river,21101
621214317,dire,safer,1,Normal,60,105,toplane,21101
621214317,dire,santageddon,1,Normal,82,104,toplane,21101
621214317,dire,SOS%7CVzla%7CPototoXx,1,Normal,64,60,midlane,21101
621620590,dire,WeMadeFox%2EEddy,1,Normal,86,104,toplane,21200
621620590,dire,Maidance,1,Normal,113,63,bottomlane,21200
621620590,dire,Maytezc,1,Normal,62,66,midlane,21200
621620590,dire,%D0%93%D1%80%D0%B0%D1%84%20%D0%9E%D1%82%D0%BE%D0%94%D1%80%D0%B0%D0%BA%D1%83%D0%BB%D0%B0,1,Normal,110,77,bottomlane,21200
621620590,dire,Aramiz%2A,1,Normal,73,104,toplane,21200
621885923,radiant,%D0%B4%D0%B5%D0%BD%D1%87%D0%B8%D0%BA,1,Normal,114,28,bottomlane,21200
621885923,radiant,fergywergy%202001,1,Normal,15,38,toplane,21200
621885923,radiant,koh9%20%2D_%2D%20Pastor%20Napas,1,Normal,54,54,midlane,21200
621885923,radiant,Manchester,1,Normal,117,29,bottomlane,21200
621885923,radiant,PsychoBat,1,Normal,14,78,toplane,21200
623384981,radiant,Crab%20Stick%21%3F,1,Normal,38,10,bottomlane,21110
623384981,radiant,GxG,1,Normal,14,39,toplane,21110
623384981,radiant,HaDs,1,Normal,56,36,jungle,21110
623384981,radiant,JIapC%5E%5E,1,Normal,34,33,midlane,21110
623384981,radiant,P%2DP%2DP%2DP%2DPOWER,1,Normal,12,47,toplane,21110
623642286,dire,TimeTODIEnoobs,1,Normal,86,103,toplane,21110
623642286,dire,Displing,1,Normal,112,76,bottomlane,21110
623642286,dire,Opa%20Na,1,Normal,56,107,toplane,21110
623642286,dire,%D0%91%D1%80%D0%B5%D0%B9%D0%B2%D0%B8%D0%BA%20%D0%9B%D0%B0%D0%BC%D0%B0%D1%80,1,Normal,106,61,jungle,21110
623642286,dire,CANCER,1,Normal,71,65,midlane,21110
624816454,radiant,%D0%96%D0%B5%D1%81%D1%82%D0%BE%D0%BA%D0%B8%D0%B9,1,Normal,14,76,toplane,20120
