id,match,team,win_lose,tier,mean,std,var
0,621041235,dire,Win,Normal,86.6913636448,45.4008218238,2061.23462228
1,621041235,radiant,Lose,Normal,71.3828445299,43.1747928339,1864.06273625
2,621214317,dire,Win,Normal,89.6246134892,44.9293233217,2018.64409414
3,621214317,radiant,Lose,Normal,88.978835486,45.304280671,2052.47784711
4,621620590,dire,Win,Normal,81.0593673589,32.2771833491,1041.81656495
5,621620590,radiant,Lose,Normal,79.0777339873,42.5742323495,1812.56526015
6,621885923,dire,Lose,Normal,100.693161789,35.952956205,1292.61505988
7,621885923,radiant,Win,Normal,99.7588646049,43.4126168515,1884.6553019
8,623384981,dire,Lose,Normal,82.6531266199,32.8921243349,1081.89184326
9,623384981,radiant,Win,Normal,84.6231549178,40.1553957883,1612.45581091
10,623642286,dire,Win,Normal,95.4625253271,37.2345588639,1386.41237379
11,623642286,radiant,Lose,Normal,92.4712136023,44.2319186927,1956.46263124
12,624816454,dire,Lose,Normal,87.2263568137,37.0976967578,1376.23910474
13,624816454,radiant,Win,Normal,92.5406345356,38.8240864623,1507.30968964
14,625739549,dire,Lose,Normal,79.4466845243,43.1919817592,1865.54728829
15,625739549,radiant,Win,Normal,77.6448100688,45.9237375469,2108.98967027
16,625840949,dire,Lose,Normal,72.7399114902,41.0384158369,1684.1515744
17,625840949,radiant,Win,Normal,81.4358271959,44.7983394179,2006.8912146
18,625935277,dire,Win,Normal,94.3316254547,41.9806483974,1762.37483987
19,625935277,radiant,Lose,Normal,96.1411931533,45.4730928572,2067.802174
20,627623750,dire,Lose,Normal,101.464869317,37.7539400044,1425.35998585
21,627623750,radiant,Win,Normal,112.368105459,32.9812246735,1087.76118096
22,627677789,dire,Lose,Normal,89.1727938667,42.9670044803,1846.16347401
23,627677789,radiant,Win,Normal,88.2514290645,44.5576279684,1985.38221017
24,627832188,dire,Lose,Normal,84.626883169,40.6024576866,1648.55957019
25,627832188,radiant,Win,Normal,102.058089975,28.110475564,790.198836435
26,627845961,dire,Win,Normal,119.560336177,32.1422923325,1033.12695639
27,627845961,radiant,Lose,Normal,109.91384065,36.6113959925,1340.39431652
28,628172689,dire,Lose,Normal,90.3522162924,45.5475279703,2074.57730421
29,628172689,radiant,Win,Normal,104.867569852,38.5873688318,1488.98503336
30,628238411,dire,Lose,Normal,89.0693193217,44.0548807647,1940.83251919
31,628238411,radiant,Win,Normal,106.002061139,32.1398524155,1032.97011329
32,628328743,dire,Lose,Normal,83.5918180931,37.2186965328,1385.2313716
33,628328743,radiant,Win,Normal,88.3215864306,34.0794138754,1161.40645009
34,628546255,dire,Win,Normal,118.683965382,23.6028842265,557.096143808
35,628546255,radiant,Lose,Normal,57.7661296995,27.3418007769,747.574069724
36,628557042,dire,Win,Normal,94.5961591225,33.1476205868,1098.76475057
37,628557042,radiant,Lose,Normal,97.5885661523,36.8349992486,1356.81716965
38,636469748,dire,Lose,Normal,75.4651820979,42.3883308286,1796.77059043
39,636469748,radiant,Win,Normal,89.4780045839,38.927080478,1515.31759454
40,638324033,dire,Lose,Normal,78.984023566,45.7728932979,2095.15776086
41,638324033,radiant,Win,Normal,84.5921670078,36.11223126,1304.09324658
42,638374052,dire,Lose,Normal,88.8505001267,47.4469034818,2251.20865001
43,638374052,radiant,Win,Normal,103.457453671,43.4862181749,1891.05117116
44,638431876,dire,Win,Normal,85.5797121168,42.2218178796,1782.68190506
45,638431876,radiant,Lose,Normal,82.8665347775,45.4569828155,2066.33728669
46,638514403,dire,Lose,Normal,113.030031886,40.6063334847,1648.87431907
47,638514403,radiant,Win,Normal,99.5486303498,34.1359963185,1165.26624466
48,638646888,dire,Win,Normal,96.524455275,43.3591208541,1880.01336124
49,638646888,radiant,Lose,Normal,74.0246812749,45.64362337,2083.34035435
50,639915588,dire,Win,Normal,88.7527180857,37.8869515863,1435.4211005
51,639915588,radiant,Lose,Normal,79.865407317,40.0983460784,1607.87735823
52,639928171,dire,Lose,Normal,78.4042060405,47.7584324979,2280.86787466
53,639928171,radiant,Win,Normal,84.8887134714,49.6857587106,2468.67461865
54,639944687,dire,Lose,Normal,68.7440048062,38.4982341195,1482.11403032
55,639944687,radiant,Win,Normal,82.5981153122,36.2912021608,1317.05135427
56,640022519,dire,Lose,Normal,76.6628477918,43.2968261887,1874.61515801
57,640022519,radiant,Win,Normal,71.0183850285,42.9502071768,1844.72029653
