match,team,won,tier,change_zone_count
628546255,radiant,0,Normal,122
627623750,dire,0,Normal,192
642864521,radiant,0,Normal,203
627677789,dire,0,Normal,248
641869130,radiant,0,Normal,261
643061665,dire,0,Normal,266
621885923,dire,0,Normal,280
638514403,dire,0,Normal,282
639928171,dire,0,Normal,293
628172689,dire,0,Normal,304
625935277,radiant,0,Normal,327
638374052,dire,0,Normal,331
621214317,radiant,0,Normal,334
648246832,radiant,0,Normal,334
643571475,radiant,0,Normal,335
641756777,radiant,0,Normal,335
645047492,radiant,0,Normal,343
638646888,radiant,0,Normal,353
621041235,radiant,0,Normal,363
643438672,dire,0,Normal,375
641717130,dire,0,Normal,389
645149633,dire,0,Normal,397
627845961,radiant,0,Normal,397
628238411,dire,0,Normal,399
638324033,dire,0,Normal,427
625840949,dire,0,Normal,438
623642286,radiant,0,Normal,439
643470370,radiant,0,Normal,449
624816454,dire,0,Normal,471
643387304,radiant,0,Normal,506
627832188,dire,0,Normal,516
639915588,radiant,0,Normal,527
643346528,dire,0,Normal,534
621620590,radiant,0,Normal,583
623384981,dire,0,Normal,601
638431876,radiant,0,Normal,620
648271831,radiant,0,Normal,632
628557042,radiant,0,Normal,654
643627112,dire,0,Normal,654
645199327,radiant,0,Normal,674
643524414,radiant,0,Normal,701
640022519,dire,0,Normal,710
639944687,dire,0,Normal,771
636469748,dire,0,Normal,779
628328743,dire,0,Normal,841
643208148,radiant,0,Normal,855
625739549,dire,0,Normal,857
645112787,radiant,0,Normal,900
628546255,dire,1,Normal,169
627623750,radiant,1,Normal,247
641869130,dire,1,Normal,274
627677789,radiant,1,Normal,333
641756777,dire,1,Normal,337
642864521,dire,1,Normal,355
628172689,radiant,1,Normal,357
643438672,radiant,1,Normal,363
643061665,radiant,1,Normal,363
621214317,dire,1,Normal,369
625935277,dire,1,Normal,377
621885923,radiant,1,Normal,382
648246832,dire,1,Normal,387
638646888,dire,1,Normal,396
639928171,radiant,1,Normal,399
645047492,dire,1,Normal,405
627845961,dire,1,Normal,415
638514403,radiant,1,Normal,416
643571475,dire,1,Normal,425
628238411,radiant,1,Normal,446
638374052,radiant,1,Normal,460
621041235,dire,1,Normal,461
625840949,radiant,1,Normal,463
641717130,radiant,1,Normal,489
627832188,radiant,1,Normal,499
623642286,dire,1,Normal,501
645149633,radiant,1,Normal,516
643470370,dire,1,Normal,530
639915588,dire,1,Normal,542
624816454,radiant,1,Normal,547
638324033,radiant,1,Normal,568
623384981,radiant,1,Normal,589
643346528,radiant,1,Normal,591
621620590,dire,1,Normal,600
643387304,dire,1,Normal,629
648271831,dire,1,Normal,634
638431876,dire,1,Normal,651
643627112,radiant,1,Normal,693
628557042,dire,1,Normal,712
636469748,radiant,1,Normal,725
643524414,dire,1,Normal,733
628328743,radiant,1,Normal,741
645199327,dire,1,Normal,751
643208148,dire,1,Normal,781
640022519,radiant,1,Normal,796
625739549,radiant,1,Normal,803
645112787,dire,1,Normal,849
639944687,radiant,1,Normal,875
645396133,dire,0,High,111
629067363,dire,0,High,199
645093123,dire,0,High,249
641876436,dire,0,High,271
